born_in	category	country	date_of_birth	date_of_death	gender	link	name	place_of_birth	place_of_death	text	year	award_age
	Chemistry	United Kingdom	1914-05-19	2002-02-06	male	http://en.wikipedia.org/wiki/Max_Perutz	Max Perutz	Vienna , Austria	Cambridge , England	Max Perutz ,  born in Austria , Chemistry, 1962	1962	48
	Chemistry	United Kingdom	1917-03-24	1997-08-23	male	http://en.wikipedia.org/wiki/John_Kendrew	John Kendrew	Oxford ,  England	Cambridge ,  England	John Kendrew , Chemistry, 1962	1962	45
	Physiology or Medicine	United Kingdom	1914-02-05	1998-12-20	male	http://en.wikipedia.org/wiki/Alan_Lloyd_Hodgkin	Alan Lloyd Hodgkin	Banbury , England, UK	Cambridge , England, UK	Alan Lloyd Hodgkin , Physiology or Medicine, 1963	1963	49
	Physiology or Medicine	United Kingdom	1917-11-22	2012-05-30	male	http://en.wikipedia.org/wiki/Andrew_Huxley	Andrew Huxley	Hampstead , London, England, UK	Grantchester, Cambridgeshire, England , UK	Andrew Huxley , Physiology or Medicine, 1963	1963	46
	Chemistry	United Kingdom	1910-05-12	1994-07-29	female	http://en.wikipedia.org/wiki/Dorothy_Crowfoot_Hodgkin	Dorothy Crowfoot Hodgkin	Cairo, Egypt	Ilmington ,  Warwickshire , England	Dorothy Crowfoot Hodgkin , Chemistry, 1964	1964	54
	Chemistry	United Kingdom	1920-12-06	2002-08-31	male	http://en.wikipedia.org/wiki/George_Porter	George Porter	Stainforth		George Porter , Chemistry, 1967	1967	47
	Chemistry	United Kingdom	1897-11-09	1978-06-07	male	http://en.wikipedia.org/wiki/Ronald_George_Wreyford_Norrish	Ronald George Wreyford Norrish	Cambridge ,  England	Cambridge ,  England	Ronald George Wreyford Norrish , Chemistry, 1967	1967	70
	Chemistry	United Kingdom	1918-09-08	1998-03-16	male	http://en.wikipedia.org/wiki/Derek_Harold_Richard_Barton	Derek Harold Richard Barton	Gravesend ,  England	College Station, Texas ,  USA	Derek Harold Richard Barton , Chemistry, 1969	1969	51
Germany	Physiology or Medicine	United Kingdom	1911-03-26	2003-04-20	male	http://en.wikipedia.org/wiki/Bernard_Katz	Bernard Katz	Leipzig ,  Germany .	London ,  England .	Bernard Katz ,  born in Germany , Physiology or Medicine, 1970	1970	59
	Physics	United Kingdom	1900-06-05	1979-02-08	male	http://en.wikipedia.org/wiki/Dennis_Gabor	Dennis Gabor	Budapest, Austria-Hungary	London, United Kingdom	Dennis Gabor ,  born in Hungary , Physics, 1971	1971	71
	Economics	United Kingdom	1904-04-08	1989-05-20	male	http://en.wikipedia.org/wiki/John_Hicks	John Hicks	Warwick	New York	John Hicks , Economics, 1972	1972	68
	Physiology or Medicine	United Kingdom	1917-10-08	1985-09-07	male	http://en.wikipedia.org/wiki/Rodney_Robert_Porter	Rodney Robert Porter	Newton-le-Willows , Lancashire		Rodney Robert Porter , Physiology or Medicine, 1972	1972	55
	Physics	United Kingdom	1940-01-04		male	http://en.wikipedia.org/wiki/Brian_David_Josephson	Brian David Josephson	Cardiff, Wales		Brian David Josephson , Physics, 1973	1973	33
	Chemistry	United Kingdom	1921-07-14	1996-09-26	male	http://en.wikipedia.org/wiki/Geoffrey_Wilkinson	Geoffrey Wilkinson	Springside ,  England	London ,  England	Geoffrey Wilkinson , Chemistry, 1973	1973	52
	Physics	United Kingdom	1924-05-11		male	http://en.wikipedia.org/wiki/Antony_Hewish	Antony Hewish	Fowey, Cornwall		Antony Hewish , Physics, 1974	1974	50
	Physics	United Kingdom	1918-09-27	1984-10-14	male	http://en.wikipedia.org/wiki/Martin_Ryle	Martin Ryle	Brighton ,  England	Cambridge ,  England	Martin Ryle , Physics, 1974	1974	56
	Chemistry	United Kingdom	1917-09-07	2013-12-08	male	http://en.wikipedia.org/wiki/John_Cornforth	John Cornforth	Sydney ,  Australia	England	John Cornforth ,  born in Australia , Chemistry, 1975	1975	58
	Physics	United Kingdom	1905-09-30	1996-08-08	male	http://en.wikipedia.org/wiki/Nevill_Francis_Mott	Nevill Francis Mott	Leeds ,  England	Milton Keynes ,  Buckinghamshire ,  England	Nevill Francis Mott , Physics, 1977	1977	72
	Economics	United Kingdom	1907-06-23	1995-12-22	male	http://en.wikipedia.org/wiki/James_Meade	James Meade	Swanage	Cambridge	James Meade , Economics, 1977	1977	70
	Chemistry	United Kingdom	1920-09-29	1992-04-10	male	http://en.wikipedia.org/wiki/Peter_D._Mitchell	Peter D. Mitchell	Mitcham ,  Surrey ,  England	Bodmin ,  Cornwall , England	Peter D. Mitchell , Chemistry, 1978	1978	58
	Physiology or Medicine	United Kingdom	1919-08-28	2004-08-12	male	http://en.wikipedia.org/wiki/Godfrey_Hounsfield	Godfrey Hounsfield	Nottinghamshire	Kingston upon Thames ,  Surrey , England	Godfrey Hounsfield , Physiology or Medicine, 1979	1979	60
	Economics	United Kingdom	1915-01-23	1991-06-15	male	http://en.wikipedia.org/wiki/Arthur_Lewis_(economist)	Arthur Lewis	Saint Lucia ,  British Empire	Barbados	Arthur Lewis ,  born on St. Lucia , Economics, 1979	1979	64
	Chemistry	United Kingdom	1918-08-13	2013-11-19	male	http://en.wikipedia.org/wiki/Frederick_Sanger	Frederick Sanger	Rendcomb, Gloucestershire, England	Cambridge, England	Frederick Sanger , Chemistry, 1980	1980	62
Ireland	Peace	United Kingdom	1944-10-15		male	http://en.wikipedia.org/wiki/David_Trimble	David Trimble	Bangor ,  County Down , Northern Ireland		David Trimble , Peace, 1998	1998	54
	Literature	United Kingdom	1932-08-17		male	http://en.wikipedia.org/wiki/V.S._Naipaul	V.S. Naipaul	Chaguanas,  Trinidad		V.S. Naipaul ,  born in Trinidad , Literature, 2001	2001	69
	Physiology or Medicine	United Kingdom	1949-01-25		male	http://en.wikipedia.org/wiki/Paul_Nurse	Paul Nurse	Norwich ,  UK		Paul Nurse , Physiology or Medicine, 2001	2001	52
	Physiology or Medicine	United Kingdom	1943-02-19		male	http://en.wikipedia.org/wiki/Tim_Hunt	Tim Hunt	Neston ,  Cheshire ,  England		Tim Hunt , Physiology or Medicine, 2001	2001	58
	Physiology or Medicine	United Kingdom	1942-03-27		male	http://en.wikipedia.org/wiki/John_E._Sulston	John E. Sulston	Cambridge, England		John E. Sulston , Physiology or Medicine, 2002	2002	60
	Physiology or Medicine	United Kingdom	1933-10-09		male	http://en.wikipedia.org/wiki/Peter_Mansfield	Peter Mansfield	Lambeth, London, England		Peter Mansfield , Physiology or Medicine, 2003	2003	70
United Kingdom	Economics	United Kingdom	1934-09-04	2009-05-27	male	http://en.wikipedia.org/wiki/Clive_W._J._Granger	Clive W. J. Granger	Swansea, UK	San Diego, California, United States	Clive W. J. Granger *, Economics, 2003	2003	69
	Literature	United Kingdom	1930-10-10	2008-12-24	male	http://en.wikipedia.org/wiki/Harold_Pinter	Harold Pinter	Hackney , London, England	London, England	Harold Pinter , Literature, 2005	2005	75
	Physiology or Medicine	United Kingdom	1941-01-01		male	http://en.wikipedia.org/wiki/Martin_Evans	Sir Martin J. Evans	Stroud ,  Gloucestershire ,  England		Sir Martin J. Evans , Physiology or Medicine, 2007	2007	66
	Literature	United Kingdom	1919-10-22	2013-11-17	female	http://en.wikipedia.org/wiki/Doris_Lessing	Doris Lessing	Kermanshah ,  Iran	London, United Kingdom	Doris Lessing ,  born in Iran , Literature, 2007	2007	88
	Physiology or Medicine	United Kingdom	1925-09-27	2013-04-10	male	http://en.wikipedia.org/wiki/Robert_G._Edwards	Robert G. Edwards	Batley	England	Robert G. Edwards , Physiology or Medicine, 2010	2010	85
Russia	Physics	United Kingdom	1974-08-23		male	http://en.wikipedia.org/wiki/Konstantin_Novoselov	Konstantin Novoselov	Nizhny Tagil ,  Russian SFSR ,  Soviet Union		Konstantin Novoselov ,  born in Russia , Physics, 2010	2010	36
	Physiology or Medicine	United Kingdom	1933-10-02		male	http://en.wikipedia.org/wiki/John_Gurdon	John B. Gurdon	Dippenhall ,  Hampshire , England		John B. Gurdon , Physiology or Medicine, 2012	2012	79
	Physics	United Kingdom	1929-05-29		male	http://en.wikipedia.org/wiki/Peter_Higgs	Peter Higgs	Newcastle upon Tyne, England, UK		Peter Higgs , Physics, 2013	2013	84
South Africa	Chemistry	United Kingdom	1947-05-09		male	http://en.wikipedia.org/wiki/Michael_Levitt	Michael Levitt	Pretoria, South Africa		Michael Levitt ,  born in South Africa , Chemistry, 2013	2013	66
United States	Physiology or Medicine	United Kingdom	1939-11-18		male	http://en.wikipedia.org/wiki/John_O%27Keefe_(neuroscientist)	John O'Keefe	New York City		John O'Keefe ,  born in the United States , Physiology or Medicine, 2014	2014	75
	Literature	Turkey	1952-06-07		male	http://en.wikipedia.org/wiki/Orhan_Pamuk	Orhan Pamuk	Istanbul   Turkey		Orhan Pamuk , Literature, 2006	2006	54
Trinidad and Tobago	Literature	Trinidad and Tobago	1932-08-17		male	http://en.wikipedia.org/wiki/V._S._Naipaul	V. S. Naipaul	Chaguanas,  Trinidad		V. S. Naipaul *, Literature, 2001	2001	69
	Chemistry	Taiwan	1936-11-19		male	http://en.wikipedia.org/wiki/Yuan_Tseh_Lee	Yuan Tseh Lee	Hsinchu City ,  Taiwan		Yuan Tseh Lee , Chemistry, 1986	1986	50
	Peace	Switzerland	1843-05-21	1914-03-16	male	http://en.wikipedia.org/wiki/Charles_Albert_Gobat	Charles Albert Gobat	Tramelan, Switzerland	Bern, Switzerland	Charles Albert Gobat , Peace, 1902	1902	59
	Peace	Switzerland	1833-02-19	1906-12-07	male	http://en.wikipedia.org/wiki/%C3%89lie_Ducommun	Élie Ducommun			Élie Ducommun , Peace, 1902	1902	69
	Physiology or Medicine	Switzerland	1841-08-25	1917-07-27	male	http://en.wikipedia.org/wiki/Emil_Theodor_Kocher	Theodor Kocher	Bern ,  Switzerland		Theodor Kocher , Physiology or Medicine, 1909	1909	68
France	Chemistry	Switzerland	1866-12-12	1919-11-15	male	http://en.wikipedia.org/wiki/Alfred_Werner	Alfred Werner	Mulhouse ,  Alsace	Zurich ,  Switzerland	Alfred Werner , Chemistry, 1913	1913	47
	Literature	Switzerland	1845-04-24	1924-12-29	male	http://en.wikipedia.org/wiki/Carl_Spitteler	Carl Spitteler	Liestal , Switzerland	Lucerne , Switzerland	Carl Spitteler , Literature, 1919	1919	74
	Physics	Switzerland	1861-02-15	1938-05-13	male	http://en.wikipedia.org/wiki/Charles_%C3%89douard_Guillaume	Charles Édouard Guillaume	Fleurier ,  Switzerland	Sèvres ,  France	Charles Édouard Guillaume , Physics, 1920	1920	59
	Chemistry	Switzerland	1889-04-21	1971-06-18	male	http://en.wikipedia.org/wiki/Paul_Karrer	Paul Karrer	Moscow ,  Russia	Zürich ,  Switzerland	Paul Karrer , Chemistry, 1937	1937	48
Croatia	Chemistry	Switzerland	1887-09-13	1976-09-26	male	http://en.wikipedia.org/wiki/Leopold_Ru%C5%BEi%C4%8Dka	Leopold Ružička	Vukovar ,  Austria-Hungary	Mammern ,  Switzerland	Leopold Ružička ,  born in then Austria-Hungary, now Croatia , Chemistry, 1939	1939	52
	Literature	Switzerland	1877-07-02	1962-08-09	male	http://en.wikipedia.org/wiki/Hermann_Hesse	Hermann Hesse	Calw ,  Württemberg , Germany	Montagnola , Switzerland	Hermann Hesse ,  born in Germany , Literature, 1946	1946	69
	Physiology or Medicine	Switzerland	1899-01-12	1965-10-12	male	http://en.wikipedia.org/wiki/Paul_Hermann_M%C3%BCller	Paul Hermann Müller	Olten ,  Solothurn ,  Switzerland	Basel ,  Switzerland	Paul Hermann Müller , Physiology or Medicine, 1948	1948	49
	Physiology or Medicine	Switzerland	1881-03-17	1973-08-12	male	http://en.wikipedia.org/wiki/Walter_Rudolf_Hess	Walter Rudolf Hess	Frauenfeld ,  Switzerland	Locarno   Switzerland	Walter Rudolf Hess , Physiology or Medicine, 1949	1949	68
Poland	Physiology or Medicine	Switzerland	1897-07-20	1996-08-01	male	http://en.wikipedia.org/wiki/Tadeus_Reichstein	Tadeus Reichstein	Włocławek ,  Congress Poland	Basel ,  Switzerland	Tadeus Reichstein , Physiology or Medicine, 1950	1950	53
Bosnia and Herzegovina	Chemistry	Switzerland	1906-07-23	1998-01-07	male	http://en.wikipedia.org/wiki/Vladimir_Prelog	Vladimir Prelog	Sarajevo ,  Bosnia and Herzegovina , then part of  Austria-Hungary	Zürich ,  Switzerland	Vladimir Prelog ,  born in then Austria-Hungary, now Bosnia-Herzegovina , Chemistry, 1975	1975	69
	Physiology or Medicine	Switzerland	1929-06-03		male	http://en.wikipedia.org/wiki/Werner_Arber	Werner Arber	Gränichen		Werner Arber , Physiology or Medicine, 1978	1978	49
	Physiology or Medicine	Switzerland	1946-04-17	1995-03-01	male	http://en.wikipedia.org/wiki/Georges_J._F._K%C3%B6hler	Georges J. F. Köhler	Munich	Freiburg im Breisgau	Georges J. F. Köhler ,  born in Germany (worked in Switzerland for 1976 to 1984) , Physiology or Medicine, 1984	1976	30
	Physics	Switzerland	1933-06-06	2013-05-16	male	http://en.wikipedia.org/wiki/Heinrich_Rohrer	Heinrich Rohrer	St. Gallen	Wollerau	Heinrich Rohrer , Physics, 1986	1986	53
	Physics	Switzerland	1927-04-20		male	http://en.wikipedia.org/wiki/Karl_Alexander_M%C3%BCller	Karl Alexander Müller	Basel ,  Switzerland		Karl Alexander Müller , Physics, 1987	1987	60
	Chemistry	Switzerland	1933-08-14		male	http://en.wikipedia.org/wiki/Richard_R._Ernst	Richard R. Ernst	Winterthur ,  Switzerland		Richard R. Ernst , Chemistry, 1991	1991	58
	Physiology or Medicine	Switzerland	1944-01-06		male	http://en.wikipedia.org/wiki/Rolf_M._Zinkernagel	Rolf M. Zinkernagel	Riehen ,  Basel-Stadt ,  Switzerland		Rolf M. Zinkernagel , Physiology or Medicine, 1996	1996	52
	Chemistry	Switzerland	1938-10-04		male	http://en.wikipedia.org/wiki/Kurt_W%C3%BCthrich	Kurt Wüthrich	Aarberg ,  Switzerland		Kurt Wüthrich , Chemistry, 2002	2002	64
	Chemistry	Sweden	1859-02-19	1927-10-02	male	http://en.wikipedia.org/wiki/Svante_Arrhenius	Svante Arrhenius	Vik , Sweden	Stockholm , Sweden	Svante Arrhenius , Chemistry, 1903	1903	44
	Peace	Sweden	1844-10-27	1916-02-20	male	http://en.wikipedia.org/wiki/Klas_Pontus_Arnoldson	Klas Pontus Arnoldson			Klas Pontus Arnoldson , Peace, 1908	1908	64
	Literature	Sweden	1858-11-20	1940-03-16	female	http://en.wikipedia.org/wiki/Selma_Lagerl%C3%B6f	Selma Lagerlöf	Mårbacka ,  Värmland ,  Sweden	Mårbacka ,  Värmland ,  Sweden	Selma Lagerlöf , Literature, 1909	1909	51
	Physiology or Medicine	Sweden	1862-06-05	1930-07-28	male	http://en.wikipedia.org/wiki/Allvar_Gullstrand	Allvar Gullstrand	Landskrona ,  Sweden	Stockholm ,  Sweden	Allvar Gullstrand , Physiology or Medicine, 1911	1911	49
	Physics	Sweden	1869-11-30	1937-12-09	male	http://en.wikipedia.org/wiki/Gustaf_Dal%C3%A9n	Gustaf Dalén	Stenstorp ,  Västergötland ,  Sweden	Lidingo ,  Stockholm ,  Sweden	Gustaf Dalén , Physics, 1912	1912	43
	Literature	Sweden	1859-07-06	1940-05-20	male	http://en.wikipedia.org/wiki/Carl_Gustaf_Verner_von_Heidenstam	Carl Gustaf Verner von Heidenstam	Olshammar,  Sweden	Övralid ,  Sweden	Carl Gustaf Verner von Heidenstam , Literature, 1916	1916	57
	Peace	Sweden	1860-11-23	1925-02-24	male	http://en.wikipedia.org/wiki/Hjalmar_Branting	Hjalmar Branting	Stockholm	Stockholm	Hjalmar Branting , Peace, 1921	1921	61
	Physics	Sweden	1886-12-03	1978-09-26	male	http://en.wikipedia.org/wiki/Karl_Manne_Siegbahn	Karl Manne Siegbahn	Örebro ,  Sweden	Stockholm ,  Sweden	Karl Manne Siegbahn , Physics, 1924	1924	38
	Chemistry	Sweden	1884-08-30	1971-02-25	male	http://en.wikipedia.org/wiki/Theodor_Svedberg	Theodor Svedberg	Fleräng, Valbo ,  Gävleborg ,  Sweden	Kopparberg ,  Sweden	Theodor Svedberg , Chemistry, 1926	1926	42
Germany	Chemistry	Sweden	1873-02-15	1964-11-06	male	http://en.wikipedia.org/wiki/Hans_von_Euler-Chelpin	Hans von Euler-Chelpin	Augsburg ,  Kingdom of Bavaria	Stockholm ,  Sweden	Hans von Euler-Chelpin ,  born in Germany , Chemistry, 1929	1929	56
	Peace	Sweden	1866-01-15	1931-07-12	male	http://en.wikipedia.org/wiki/Nathan_S%C3%B6derblom	Nathan Söderblom	Trönö (today  Söderhamn Municipality ),  Gävleborg County	Uppsala , Sweden	Nathan Söderblom , Peace, 1930	1930	64
	Literature	Sweden	1864-07-20	1931-04-08	male	http://en.wikipedia.org/wiki/Erik_Axel_Karlfeldt	Erik Axel Karlfeldt	Karlbo,  Dalarna ,  Sweden	Stockholm , Sweden	Erik Axel Karlfeldt , Literature, 1931	1931	67
	Chemistry	Sweden	1902-08-10	1971-10-29	male	http://en.wikipedia.org/wiki/Arne_Tiselius	Arne Tiselius	Stockholm ,  Sweden	Uppsala ,  Sweden	Arne Tiselius , Chemistry, 1948	1948	46
	Literature	Sweden	1891-05-23	1974-07-11	male	http://en.wikipedia.org/wiki/P%C3%A4r_Lagerkvist	Pär Lagerkvist	Växjö ,  Sweden	Stockholm ,  Sweden	Pär Lagerkvist , Literature, 1951	1951	60
	Peace	Sweden	1905-07-29	1961-09-18	male	http://en.wikipedia.org/wiki/Dag_Hammarskj%C3%B6ld	Dag Hammarskjöld	Jönköping , Sweden	Ndola ,  Federation of Rhodesia and Nyasaland	Dag Hammarskjöld , Peace, 1961 (posthumously)	1961	56
Germany	Literature	Sweden	1891-12-10	1970-05-12	female	http://en.wikipedia.org/wiki/Nelly_Sachs	Nelly Sachs	Schöneberg , Berlin	Stockholm	Nelly Sachs ,  born in Germany , Literature, 1966	1966	75
	Physiology or Medicine	Sweden	1900-10-30	1991-03-12	male	http://en.wikipedia.org/wiki/Ragnar_Granit	Ragnar Granit	Helsinki , Finland	Stockholm , Sweden	Ragnar Granit ,  born in then Russian Empire, now Finland , Physiology or Medicine, 1967	1967	67
	Physics	Sweden	1908-05-30	1995-04-02	male	http://en.wikipedia.org/wiki/Hannes_Alfv%C3%A9n	Hannes Alfvén	Norrköping , Sweden	Djursholm , Sweden	Hannes Alfvén , Physics, 1970	1970	62
	Physiology or Medicine	Sweden	1905-02-07	1983-03-09	male	http://en.wikipedia.org/wiki/Ulf_von_Euler	Ulf von Euler	Stockholm, Sweden		Ulf von Euler , Physiology or Medicine, 1970	1970	65
	Economics	Sweden	1898-12-06	1987-05-17	male	http://en.wikipedia.org/wiki/Gunnar_Myrdal	Gunnar Myrdal	Gustafs, Dalarna ,  Sweden	Danderyd ,  Sweden	Gunnar Myrdal , Economics, 1974	1974	76
	Literature	Sweden	1904-05-06	1978-02-11	male	http://en.wikipedia.org/wiki/Harry_Martinson	Harry Martinson	Jämshög ,  Sweden	Stockholm ,  Sweden	Harry Martinson , Literature, 1974	1974	70
	Literature	Sweden	1900-07-29	1976-08-25	male	http://en.wikipedia.org/wiki/Eyvind_Johnson	Eyvind Johnson	near  Boden ,  Norrbotten , Sweden	Stockholm , Sweden	Eyvind Johnson , Literature, 1974	1974	74
	Economics	Sweden	1899-04-23	1979-08-03	male	http://en.wikipedia.org/wiki/Bertil_Ohlin	Bertil Ohlin	Klippan ,  Skåne County	Vålådalen ,  Åre ,  Jämtland County	Bertil Ohlin , Economics, 1977	1977	78
Sweden	Physiology or Medicine	Sweden	1924-06-03		male	http://en.wikipedia.org/wiki/Torsten_Wiesel	Torsten Wiesel	Uppsala , Sweden		Torsten Wiesel *, Physiology or Medicine, 1981	1981	57
	Physics	Sweden	1918-04-20	2007-07-20	male	http://en.wikipedia.org/wiki/Kai_Siegbahn	Kai Siegbahn	Lund ,  Sweden	Ängelholm , Sweden	Kai Siegbahn , Physics, 1981	1981	63
	Physiology or Medicine	Sweden	1934-05-21		male	http://en.wikipedia.org/wiki/Bengt_I._Samuelsson	Bengt I. Samuelsson			Bengt I. Samuelsson , Physiology or Medicine, 1982	1982	48
	Physiology or Medicine	Sweden	1916-01-10	2004-08-15	male	http://en.wikipedia.org/wiki/Sune_Bergstr%C3%B6m	Sune Bergström	Stockholm ,  Sweden		Sune Bergström , Physiology or Medicine, 1982	1982	66
	Peace	Sweden	1902-01-31	1986-02-01	female	http://en.wikipedia.org/wiki/Alva_Myrdal	Alva Myrdal	Uppsala	Danderyd, Stockholm County	Alva Myrdal , Peace, 1982	1982	80
	Physiology or Medicine	Sweden	1923-01-25		male	http://en.wikipedia.org/wiki/Arvid_Carlsson	Arvid Carlsson	Uppsala , Sweden		Arvid Carlsson , Physiology or Medicine, 2000	2000	77
	Literature	Sweden	1931-04-15		male	http://en.wikipedia.org/wiki/Tomas_Transtr%C3%B6mer	Tomas Tranströmer	Stockholm		Tomas Tranströmer , Literature, 2011	2011	80
	Literature	Spain	1832-04-19	1916-09-14	male	http://en.wikipedia.org/wiki/Jos%C3%A9_Echegaray	José Echegaray	Madrid ,  Spain	Madrid ,  Spain	José Echegaray , Literature, 1904	1904	72
	Physiology or Medicine	Spain	1852-05-01	1934-10-17	male	http://en.wikipedia.org/wiki/Santiago_Ram%C3%B3n_y_Cajal	Santiago Ramón y Cajal	Aragon, Spain	Madrid, Spain	Santiago Ramón y Cajal , Physiology or Medicine, 1906	1906	54
Saint Lucia	Economics	Saint Lucia	1915-01-23	1991-06-15	male	http://en.wikipedia.org/wiki/Arthur_Lewis_(economist)	Sir Arthur Lewis	Saint Lucia ,  British Empire	Barbados	Sir Arthur Lewis *, Economics, 1979	1979	64
	Literature	Saint Lucia	1930-01-23		male	http://en.wikipedia.org/wiki/Derek_Walcott	Derek Walcott	Castries ,  Saint Lucia		Derek Walcott , Literature, 1992	1992	62
	Physiology or Medicine	Russia	1849-09-14	1936-02-27	male	http://en.wikipedia.org/wiki/Ivan_Petrovich_Pavlov	Ivan Petrovich Pavlov	Ryazan ,  Russia	Leningrad ,  Soviet Union	Ivan Petrovich Pavlov , Physiology or Medicine, 1904	1904	55
Ukraine	Physiology or Medicine	Russia	1845-05-16	1916-07-15	male	http://en.wikipedia.org/wiki/Ilya_Ilyich_Mechnikov	Ilya Ilyich Mechnikov	Ivanivka,  Kupyanskyi Raion ,  Kharkiv Province ,  Ukraine	Paris ,  France	Ilya Ilyich Mechnikov ,  born in now Ukraine , Physiology or Medicine, 1908	1908	63
	Chemistry	Russia	1896-01-01	1986-09-25	male	http://en.wikipedia.org/wiki/Nikolay_Nikolayevich_Semyonov	Nikolay Nikolayevich Semyonov	Saratov	Moscow, Soviet Union	Nikolay Nikolayevich Semyonov , Chemistry, 1956	1956	60
	Physics	Russia	1908-10-23	1990-06-22	male	http://en.wikipedia.org/wiki/Ilya_Frank	Ilya Mikhailovich Frank	St. Petersburg	Moscow ,  Soviet Union	Ilya Mikhailovich Frank , Physics, 1958	1958	50
	Physics	Russia	1895-07-08	1971-04-12	male	http://en.wikipedia.org/wiki/Igor_Yevgenyevich_Tamm	Igor Yevgenyevich Tamm	Vladivostok ,  Russian Empire	Moscow ,  Russian SFSR ,  Soviet Union	Igor Yevgenyevich Tamm , Physics, 1958	1958	63
	Physics	Russia	1904-07-15	1990-01-06	male	http://en.wikipedia.org/wiki/Pavel_Alekseyevich_Cherenkov	Pavel Alekseyevich Cherenkov	Voronezh Oblast ,  Russian Empire	Moscow ,  Russia	Pavel Alekseyevich Cherenkov , Physics, 1958	1958	54
	Literature	Russia	1890-02-10	1960-05-30	male	http://en.wikipedia.org/wiki/Boris_Leonidovich_Pasternak	Boris Pasternak	Moscow, Russian Empire	Peredelkino, USSR	Boris Pasternak , Literature, 1958 (forced to decline)	1958	68
	Physics	Russia	1908-01-22	1968-04-01	male	http://en.wikipedia.org/wiki/Lev_Davidovich_Landau	Lev Davidovich Landau	Baku	Moscow	Lev Davidovich Landau , Physics, 1962	1962	54
Australia	Physics	Russia	1916-07-11	2002-01-08	male	http://en.wikipedia.org/wiki/Aleksandr_M._Prokhorov	Aleksandr M. Prokhorov	Atherton, Queensland ,  Australia	Moscow ,  Russia	Aleksandr M. Prokhorov ,  born in Australia , Physics, 1964	1964	48
	Physics	Russia	1922-12-14	2001-07-01	male	http://en.wikipedia.org/wiki/Nicolay_G._Basov	Nicolay G. Basov	Usman ,  Russia	Moscow ,  Russia	Nicolay G. Basov , Physics, 1964	1964	42
	Literature	Russia	1905-05-24	1984-02-21	male	http://en.wikipedia.org/wiki/Michail_Aleksandrovich_Sholokhov	Michail Sholokhov	Veshenskaya ,  Russian Empire	Veshenskaya ,  USSR	Michail Sholokhov , Literature, 1965	1965	60
	Literature	Russia	1918-12-11	2008-08-03	male	http://en.wikipedia.org/wiki/Aleksandr_Solzhenitsyn	Aleksandr Solzhenitsyn	Kislovodsk, Russia	Moscow, Russia	Aleksandr Solzhenitsyn , Literature, 1970	1970	52
	Economics	Russia	1912-01-19	1986-04-07	male	http://en.wikipedia.org/wiki/Leonid_Vitalyevich_Kantorovich	Leonid Vitalyevich Kantorovich	Saint Petersburg ,  Russian Empire	Moscow ,  Russia ,  USSR	Leonid Vitalyevich Kantorovich , Economics, 1975	1975	63
	Peace	Russia	1921-05-21	1989-12-14	male	http://en.wikipedia.org/wiki/Andrei_Dmitrievich_Sakharov	Andrei Dmitrievich Sakharov	Moscow ,  RSFSR	Moscow ,  USSR	Andrei Dmitrievich Sakharov , Peace, 1975	1975	54
	Physics	Russia	1894-07-08	1984-04-08	male	http://en.wikipedia.org/wiki/Pyotr_Leonidovich_Kapitsa	Pyotr Leonidovich Kapitsa	Kronstadt ,  Russian Empire	Moscow ,  Soviet Union	Pyotr Leonidovich Kapitsa , Physics, 1978	1978	84
Russia	Literature	Russia	1940-05-24	1996-01-28	male	http://en.wikipedia.org/wiki/Iosif_Aleksandrovich_Brodsky	Iosif Aleksandrovich Brodsky	Leningrad ,  Russia ,  USSR	New York City, New York ,  USA	Iosif Aleksandrovich Brodsky *, Literature, 1987	1987	47
	Peace	Russia	1931-03-02		male	http://en.wikipedia.org/wiki/Mikhail_Sergeyevich_Gorbachev	Mikhail Sergeyevich Gorbachev	Privolnoye, Russia		Mikhail Sergeyevich Gorbachev , Peace, 1990	1990	59
Belarus	Physics	Russia	1930-03-15		male	http://en.wikipedia.org/wiki/Zhores_Ivanovich_Alferov	Zhores Ivanovich Alferov	Vitebsk ,  BSSR ,  Soviet Union		Zhores Ivanovich Alferov ,  born in then Soviet Union, now Belarus , Physics, 2000	2000	70
	Physics	Russia	1916-10-04	2009-11-08	male	http://en.wikipedia.org/wiki/Vitaly_Lazarevich_Ginzburg	Vitaly Ginzburg	Moscow ,  Imperial Russia	Moscow, Russia	Vitaly Ginzburg , Physics, 2003	2003	87
	Physiology or Medicine	Portugal	1874-11-29	1955-12-13	male	http://en.wikipedia.org/wiki/Ant%C3%B3nio_Caetano_de_Abreu_Freire_Egas_Moniz	António Caetano de Abreu Freire Egas Moniz	Avanca , Estarreja, Portugal	Lisbon	António Caetano de Abreu Freire Egas Moniz , Physiology or Medicine, 1949	1949	75
	Literature	Portugal	1922-11-16	2010-06-18	male	http://en.wikipedia.org/wiki/Jos%C3%A9_Saramago	José de Sousa Saramago	Azinhaga ,  Ribatejo , Portugal	Tías ,  Las Palmas Province , Spain	José de Sousa Saramago , Literature, 1998	1998	76
	Physics	Poland	1867-11-07	1934-07-04	female	http://en.wikipedia.org/wiki/Marie_Curie	Marie Skłodowska-Curie	Warsaw , Poland	Sancellemoz , France	Marie Skłodowska-Curie ,  born in partitioned Poland (Russian Empire) , Physics, 1903	1903	36
